0,CombatZoneResize,133,251,508,391,TLResume,,
0,HeartTeleport,320,376,,,,,
0,HeartMode,1,,,,,,
0,TLPause,,,,,,,
0,Platform,15,346,61,0,120,,
0,BoneV2,503,240,300,2,280,2
0.1,BoneV,503,240,300,2,280,2
0.4,BoneVRepeat2,133,356,40,0,120,41,15
1.2,Platform,-61,346,61,0,150,,
0,BoneV,503,240,300,2,280,2
0.1,BoneV2,503,240,300,2,280,2
1.7,Platform,-61,346,61,0,180,,
0,BoneV2,503,240,300,2,280,2
0.1,BoneV,503,240,300,2,280,2
1,BoneV3,133,257,1,0,210,,65
0,BoneV3,119,257,1,0,210,,65
0,BoneV3,105,257,1,0,210,,65
2.3,BoneV,133,257,95,0,270,,
2,SansBody,HandLeft,,,,,,,
0,BoneStab,2,280,0.3,3.4,,,,
0.1,BlackScreen,0,,,,,,,
0,Sound,Flash,,,,,,,
0,HeartTeleport,391,376,,,,,,
0,SansSlam,0,,,,,,,
0.03333,BoneStab,0,40,0.6,1,,,,
0,BoneStab,1,58,0.6,1,,,,
0.9,BlackScreen,1,,,,,,,
0,Sound,Flash,,,,,,,
0.1,BlackScreen,0,,,,,,,
0,Sound,Flash,,,,,,,
0,HeartTeleport,282,290,,,,,,
0,SansSlam,2,,,,,,,
0,SansX,320,,,,,,,
0.03333,BoneStab,2,48,0.6,1,,,,
0.7,HeartMode,0,,,,,,,
0,BoneV,128,240,3000,0,280,1
0,BoneV,128,240,3000,0,180,2
0,BoneV,128,240,3000,0,280,1
0,BoneV,128,240,3000,0,180,2
0,BoneV,128,240,3000,0,280,1
0.1,GasterBlaster,2,640,240,499,306,180,0.0001,8
0.1,GasterBlaster,2,540,240,499,306,180,0.0001,8
1.7,EndAttack,,,,,,,
